DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K,heatsys1.schedule1.Tset1,heatsys1.schedule1.Tset2,heatsys1.schedule1.Tset3
162600,0,291.4555,291.26605,291.36124,291.15,291.15,291.15
163200,0,291.2707,291.1281,291.18903,291.15,291.15,291.15
163800,41000,291.1117,291.0059,291.04218,291.15,291.15,291.15
164400,0,291.48468,291.32303,291.38083,291.15,291.15,291.15
165000,0,291.27948,291.17532,291.1898,291.15,291.15,291.15
165600,41000,291.104,291.04523,291.02786,291.15,291.15,291.15
166200,0,291.46317,291.35437,291.35507,291.15,291.15,291.15
166800,0,291.24753,291.1996,291.15417,291.15,291.15,291.15
167400,25000,291.06216,291.0633,290.983,291.15,291.15,291.15
168000,0,291.41483,291.39432,291.30432,291.15,291.15,291.15
168600,0,291.1926,291.23282,291.09708,291.15,291.15,291.15
169200,25000,290.99893,291.08734,291.43338,291.15,291.15,291.15
169800,0,291.30527,291.4112,291.19495,291.15,291.15,291.15
170400,25000,291.0862,291.2437,290.99243,291.15,291.15,291.15
171000,0,291.41183,291.09302,291.2914,291.15,291.15,291.15
171600,0,291.1682,291.4135,291.06403,291.15,291.15,291.15
172200,25000,290.9591,291.241,291.3863,291.15,291.15,291.15
172800,0,291.25604,291.08792,291.14078,291.15,291.15,291.15
173400,25000,291.02582,291.4064,291.44604,291.15,291.15,291.15
174000,0,291.3086,291.23163,291.18747,291.15,291.15,291.15
174600,25000,291.07022,291.07834,290.9661,291.15,291.15,291.15
175200,0,291.3795,291.39478,291.25323,291.15,291.15,291.15
175800,25000,291.1258,291.2193,291.01526,291.15,291.15,291.15
176400,0,291.42038,291.0621,291.2873,291.15,291.15,291.15
177000,25000,291.15338,291.37656,291.03763,291.15,291.15,291.15
177600,0,291.43875,291.19836,291.3007,291.15,291.15,291.15
178200,41000,291.16675,291.04233,291.04724,291.15,291.15,291.15
178800,0,291.44504,291.32837,291.30432,291.15,291.15,291.15
179400,25000,291.16675,291.15356,291.04547,291.15,291.15,291.15
180000,16000,291.44055,290.99802,291.2969,291.15,291.15,291.15
180600,25000,291.1533,291.2859,291.03076,291.15,291.15,291.15
181200,0,291.42313,291.11115,291.2779,291.15,291.15,291.15
181800,25000,291.13245,291.41193,291.009,291.15,291.15,291.15
182400,0,291.40012,291.21976,291.25412,291.15,291.15,291.15
183000,25000,291.10898,291.05136,290.98483,291.15,291.15,291.15
183600,0,291.37582,291.35638,291.22784,291.15,291.15,291.15
184200,25000,291.08383,291.17017,290.958,291.15,291.15,291.15
