Time;Central heat injection;Total network heat loss
467100;43988.28;3496.9922
468000;44849.145;3485.6953
468900;45620.145;3483.3203
469800;46196.098;3470.2227
470700;46892.625;3472.4492
471600;47552.02;3467.5547
472500;45243.754;3408.2188
473400;42161.797;3399.4531
474300;38781.24;3399.9727
475200;34883.027;3386.5762
476100;33831.48;3490.1875
477000;32936.477;3495.7852
477900;32239.328;3506.1543
478800;31692.258;3513.8633
479700;32089.604;3552.7422
480600;32668.203;3554.9805
481500;33402.777;3556.3496
482400;34266.125;3555.4492
483300;36923.727;3608.6602
484200;39819.703;3589.3555
485100;42836.883;3560.3906
486000;46046.723;3541.7695
486900;47744.47;3489.7188
487800;49101.29;3475.5
488700;50330.133;3465.5781
489600;51459.44;3457.1133
490500;52462.402;3448.8242
491400;53362.87;3441.996
492300;54202.84;3436.3555
493200;144877.42;4281.1562
494100;141352.02;2991.3281
495000;140237.94;3038.2188
495900;139513.84;3041.875
496800;139013.97;3044.9375
497700;138711.62;3047.3906
498600;138457.88;3049.2031
499500;137567.12;3055.375
500400;136732.27;3061.5781
501300;135881.95;3067
502200;135060.8;3072.4219
503100;134298.47;3076.2969
504000;133636.17;3080.7734
504900;132998.28;3082.6953
505800;132511.45;3087.0234
506700;131976.34;3087.7812
507600;131544.19;3091.1797
508500;131077.27;3091.5156
509400;130727.08;3094.8281
510300;130316.336;3093.9531
511200;101395.07;2805.6328
512100;107075.25;3222.7969
513000;107876.84;3140.25
513900;108425.41;3140.2188
514800;120676.805;3258.3047
515700;121176.086;3106.2422
516600;121586.84;3104.6562
517500;122029.87;3104.914
518400;121923.21;3104.8906
519300;121769.66;3107.125
520200;121648.445;3108.9766
521100;121584.836;3111.1484
522000;121523.96;3112.5547
522900;121462.79;3113.7422
523800;121412.46;3115.0312
524700;121362.89;3116.0781
525600;121324.195;3117.086
526500;121293.69;3118
527400;121258.266;3118.9219
528300;121217.72;3119.6719
529200;121180.87;3120.4766
530100;121125.48;3120.7344
531000;121109.41;3121.9219
531900;121076.81;3122.5625
532800;121043.234;3123.3047
533700;121005.68;3123.8516
534600;120945.75;3123.6562
535500;120906.49;3124.2656
536400;120889.64;3125.1797
537300;120854.77;3125.6484
538200;120818.96;3126.211
539100;120783.01;3126.664
540000;120746.72;3127.2031
540900;120686.16;3126.9688
541800;120643.305;3127.0312
542700;120621.85;3128.2266
543600;23286.406;2407.8633
544500;36210.83;4233.629
545400;38288.57;3536.207
546300;40308.76;3551.6914
547200;41624.02;3517.3633
548100;42345.582;3499.3438
549000;42679.44;3485.2344
549900;42863.152;3481.8008
550800;42817.184;3476.1523
551700;42656.684;3474.5195
552600;42396.5;3473.3203
553500;42064.195;3472.996
554400;41696.16;3475.5352
555300;41706.586;3486.5586
556200;41708.383;3485.6875
557100;41715.285;3486.0273
558000;41718.555;3486.0156
558900;41834.543;3488.9492
559800;41992.695;3489.2617
560700;42157.43;3488.6406
561600;42329.12;3487.9531
