DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K
266400,42136,294.14038,291.14795,294.1404
267000,42272.668,294.14035,291.14792,294.14038
267600,42403.336,294.14032,291.14792,294.14035
268200,42530.145,294.1403,291.14792,294.14032
268800,42655.246,294.14026,291.14792,294.14032
269400,42780.797,294.14023,291.1479,294.1403
270000,42909.617,294.14023,291.1479,294.14026
270600,43042.293,294.1402,291.1479,294.14023
271200,43176.39,294.14017,291.14786,294.1402
271800,43309.66,294.14014,291.14786,294.14017
272400,43439.863,294.1401,291.14786,294.14014
273000,43564.754,294.14008,291.14786,294.1401
273600,43682.09,294.14005,291.14783,294.14008
274200,43789.625,294.14,291.14783,294.14005
274800,43885.117,294.14,291.14783,294.14005
275400,43966.32,294.13998,291.1478,294.14
276000,44030.996,294.13998,291.1478,294.14
276600,44076.94,294.13995,291.1478,294.14
277200,44118.605,294.13995,291.1478,294.13998
277800,44142.082,294.13995,291.14777,294.13998
278400,44151.313,294.13995,291.14777,294.13998
279000,44150.227,294.13995,291.14777,294.13998
279600,44142.758,294.13998,291.14777,294.14
280200,44132.844,294.13998,291.14774,294.14
280800,44124.418,294.13998,291.14774,294.14
281400,44121.414,294.13998,291.14774,294.14
282000,44127.766,294.13998,291.14774,294.14
282600,44147.41,294.13998,291.14774,294.14
283200,44184.273,294.13998,291.1477,294.14
283800,44239.04,294.13998,291.1477,294.14
284400,44297.72,294.13995,291.1477,294.13998
285000,40112.21,294.14102,291.1477,294.14105
285600,38925.01,294.14133,291.14767,294.14136
286200,39532.7,294.14117,291.14767,294.1412
286800,40731.844,294.14087,291.14767,294.1409
287400,41319.016,294.14072,291.14767,294.14075
288000,40530.31,294.14093,291.14764,294.14096
288600,40441.55,294.14096,291.14764,294.141
289200,40236.523,294.141,291.14764,294.14105
289800,39864.816,294.14105,291.14764,294.14117
290400,39304.332,294.1411,291.14767,294.1414
291000,38620.574,294.1412,291.14767,294.14163
291600,38020.063,294.1413,291.14767,294.14185
292200,37593.855,294.14136,291.14767,294.142
292800,37253.848,294.14142,291.14767,294.1421
293400,36992.11,294.14148,291.1477,294.14215
294000,36800.723,294.14154,291.1477,294.1422
294600,36671.76,294.14157,291.1477,294.1422
295200,36586.703,294.14163,291.1477,294.1422
295800,36468.934,294.14166,291.1477,294.1422
296400,36315.453,294.14172,291.14774,294.14224
297000,36136.65,294.14178,291.14774,294.14227
297600,35942.902,294.14185,291.14774,294.1423
298200,35744.598,294.14188,291.14774,294.14233
298800,35552.12,294.14194,291.14774,294.14236
299400,35375.86,294.142,291.14777,294.1424
300000,35226.2,294.14203,291.14777,294.14243
300600,35113.52,294.14206,291.14777,294.14246
301200,35048.21,294.1421,291.14777,294.14246
301800,35040.367,294.1421,291.14777,294.14246
302400,34952.652,294.14212,291.14777,294.14246
303000,34865.992,294.14215,291.1478,294.1425
303600,34781.94,294.14215,291.1478,294.1425
304200,34702.05,294.14218,291.1478,294.14252
304800,34627.883,294.1422,291.1478,294.14252
305400,34560.99,294.14224,291.1478,294.14252
306000,34502.92,294.14224,291.1478,294.14252
306600,34455.242,294.14227,291.14783,294.14255
307200,34419.504,294.14227,291.14783,294.14255
307800,34397.26,294.1423,291.14783,294.14255
308400,34390.074,294.1423,291.14783,294.14252
309000,34399.496,294.1423,291.14783,294.14252
309600,34427.082,294.1423,291.14783,294.14252
310200,34474.387,294.1423,291.14783,294.1425
310800,34542.97,294.14227,291.14783,294.14246
311400,34634.383,294.14227,291.14783,294.14246
312000,34750.184,294.14224,291.14783,294.14243
312600,34891.93,294.1422,291.14783,294.14236
313200,35061.176,294.14218,291.1478,294.14233
313800,35259.48,294.14212,291.1478,294.14227
314400,35488.395,294.14206,291.1478,294.1422
315000,35749.48,294.14203,291.1478,294.14215
315600,36044.29,294.14194,291.14777,294.1421
316200,36284.92,294.1419,291.14777,294.14203
316800,36502.42,294.14185,291.14777,294.142
317400,36714.48,294.14178,291.14774,294.14194
318000,36921.105,294.14175,291.14774,294.14188
318600,37122.31,294.1417,291.14774,294.14185
319200,37318.098,294.14166,291.14774,294.14178
319800,37508.49,294.1416,291.1477,294.14175
320400,37693.492,294.14157,291.1477,294.1417
321000,37873.117,294.14154,291.1477,294.14166
321600,38047.38,294.14148,291.1477,294.14163
322200,38216.28,294.14145,291.14767,294.14157
322800,38379.844,294.14142,291.14767,294.14154
323400,38538.074,294.1414,291.14764,294.1415
324000,38690.99,294.14136,291.14764,294.14148
324600,41042.258,294.14078,291.14764,294.1409
325200,42786.785,294.14035,291.1476,294.14047
325800,44002.527,294.14005,291.1476,294.14017
326400,44767.426,294.13986,291.14758,294.13995
327000,45159.44,294.13977,291.14758,294.13986
327600,45256.52,294.13974,291.14758,294.13986
328200,45136.61,294.13977,291.14755,294.1399
328800,44877.66,294.13986,291.14755,294.13995
329400,44557.617,294.13992,291.14755,294.14005
330000,44254.43,294.14,291.14752,294.14014
330600,44046.047,294.14008,291.14752,294.1402
331200,44010.414,294.1401,291.1475,294.1402
331800,44225.48,294.14005,291.1475,294.14017
