Time [s],T office north [K],T office south [K],T corridor [K],heating power office north [W],heating power office south [W],heating power corridor [W],cooling power office north [W],cooling power office south [W],cooling power corridor [W]
148200,293.1469,293.1466,291.22308,16443.775,16365.942,0,0,0,0
148800,293.14655,293.1463,291.22025,16476.145,16400.479,0,0,0,0
149400,293.14642,293.14618,291.2173,16509.25,16435.434,0,0,0,0
150000,293.14633,293.14612,291.2143,16542.326,16470.3,0,0,0,0
150600,293.14633,293.14615,291.2112,16575.016,16504.662,0,0,0,0
151200,293.14642,293.14624,291.20807,16607.076,16538.326,0,0,0,0
151800,292.90942,292.91125,291.08237,0,0,0,0,0,0
152400,292.65735,292.6612,290.96838,0,0,0,0,0,0
153000,292.4367,292.4427,290.86584,0,0,0,0,0,0
153600,292.24506,292.25296,290.7743,0,0,0,0,0,0
154200,292.07846,292.08798,290.69257,0,0,0,0,0,0
154800,291.93298,291.9439,290.61942,0,0,0,0,0,0
155400,291.80542,291.8175,290.55374,0,0,0,0,0,0
156000,291.69193,291.70493,290.4943,0,0,0,0,0,0
156600,291.5912,291.60498,290.44055,0,0,0,0,0,0
157200,291.50055,291.51495,290.39157,0,0,0,0,0,0
157800,291.4194,291.4343,290.34705,0,0,0,0,0,0
158400,291.34537,291.3607,290.306,0,0,0,0,0,0
159000,291.27734,291.29297,290.26794,0,0,0,0,0,0
159600,291.2147,291.23056,290.23257,0,0,0,0,0,0
160200,291.1562,291.17224,290.19934,0,0,0,0,0,0
160800,291.1013,291.11746,290.16797,0,0,0,0,0,0
161400,291.04916,291.06543,290.13803,0,0,0,0,0,0
162000,290.99918,291.01553,290.10922,0,0,0,0,0,0
162600,290.95096,290.96735,290.0813,0,0,0,0,0,0
163200,290.90424,290.92062,290.05414,0,0,0,0,0,0
163800,290.8587,290.87512,290.02753,0,0,0,0,0,0
164400,290.8142,290.83063,290.00137,0,0,0,0,0,0
165000,290.7706,290.78702,289.97562,0,0,0,0,0,0
165600,290.72778,290.74414,289.95016,0,0,0,0,0,0
166200,290.68558,290.70193,289.92493,0,0,0,0,0,0
166800,290.6439,290.66022,289.89984,0,0,0,0,0,0
167400,290.60263,290.61887,289.8748,0,0,0,0,0,0
168000,290.5616,290.57782,289.84973,0,0,0,0,0,0
168600,290.52106,290.5372,289.82483,0,0,0,0,0,0
169200,290.48083,290.49692,289.80002,0,0,0,0,0,0
169800,290.44107,290.4571,289.77536,0,0,0,0,0,0
170400,290.4023,290.41827,289.75137,0,0,0,0,0,0
171000,290.3645,290.38037,289.72794,0,0,0,0,0,0
171600,290.3276,290.34344,289.70505,0,0,0,0,0,0
